fname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
00044347.wav,0.9997416,1.7096532e-07,2.0355724e-06,0.00018645044,3.6827306e-08,5.2414507e-11,9.1304706e-08,8.1132106e-07,1.1035223e-09,5.5215413e-08,1.7684383e-06,3.7917105e-09,9.7991855e-09,2.5408378e-08,1.784919e-08,2.2113618e-08,7.258739e-06,1.0803793e-10,1.6350499e-06,1.7820241e-08,7.0782135e-06,7.0967117e-12,6.2443064e-07,3.4924582e-07,2.4717525e-07,6.478744e-07,7.5909325e-06,4.2349315e-09,2.5267537e-09,1.19199884e-11,5.5307873e-07,3.7162565e-05,2.411664e-07,2.44813e-06,5.5358402e-08,7.4106943e-09,4.6167958e-10,2.5130236e-08,1.0816201e-07,8.3747045e-07,1.5439587e-08
002d256b.wav,3.1077012e-05,2.1149737e-05,2.1765421e-05,0.00010287344,1.051576e-05,0.049158122,0.00014942879,1.27335015e-05,0.13346079,3.501518e-05,8.672334e-05,7.611194e-05,2.6051688e-05,0.0021596332,1.698538e-05,0.00071981346,1.4156871e-05,8.176715e-05,0.06096528,0.00087565253,0.00011290756,0.007196632,5.930567e-05,0.0009294412,0.0051951124,2.8482944e-05,0.00010078895,0.0014439633,0.0024622458,6.410392e-05,0.0001902685,0.00048425063,0.0008230573,0.0046143294,0.00011612726,0.003983212,0.000562625,1.2748801e-05,0.00023553241,0.00017776902,0.72318137
003b91e8.wav,1.2306114e-10,0.0004660821,2.3196009e-07,3.3480016e-10,0.9990396,2.6412458e-08,3.1107283e-09,5.0812975e-08,1.7313017e-09,8.962733e-12,1.0251794e-09,8.433205e-09,0.00031324648,3.235383e-11,1.1798405e-07,2.9959676e-08,8.738559e-07,6.3713333e-06,6.3612214e-07,1.2641139e-08,1.0584482e-06,6.0391865e-12,4.4539097e-06,2.1410964e-05,2.0445645e-09,3.2952835e-07,3.992169e-08,3.414226e-05,5.8982914e-07,8.878068e-05,4.3231086e-07,2.0400987e-07,7.360506e-11,4.8183213e-09,1.6963629e-08,2.688145e-07,1.6649801e-05,1.8281865e-09,4.171057e-06,1.699916e-08,8.692245e-13
004ad66f.wav,3.9334589e-07,0.000161619,1.3040287e-06,2.192181e-05,2.7305753e-06,1.9626805e-08,7.201833e-07,0.996121,2.719202e-07,1.1108647e-05,1.0515233e-08,3.9667956e-08,1.7486992e-07,4.9011265e-07,1.492544e-09,0.0006560337,0.000133846,5.4393556e-09,0.00020752646,1.1143178e-08,5.243047e-06,9.570687e-09,8.487529e-08,3.8574617e-06,3.7279065e-06,9.727984e-06,7.62993e-07,5.3638232e-05,4.468514e-07,5.145978e-06,2.9530847e-07,8.4188486e-07,4.4865212e-07,3.8230323e-06,7.494148e-06,5.7422046e-08,8.4142854e-08,3.9997307e-08,0.0009262452,0.0016587581,1.4837712e-08
0063ab88.wav,2.9333997e-08,1.2124803e-09,1.21180355e-08,1.401436e-08,3.7070946e-09,6.104653e-08,3.2891141e-06,7.680236e-08,0.16048029,0.039753415,3.5418037e-09,0.007857638,1.1449592e-06,0.00014930067,2.7040824e-07,8.661372e-10,4.371709e-09,2.1020448e-07,0.00017500337,5.7365573e-10,3.9782003e-06,1.3872973e-09,1.2659599e-05,0.0002066607,0.7910259,4.97872e-08,6.5733863e-09,6.362757e-06,2.0535968e-08,1.7372815e-09,0.00025262038,3.0162323e-06,5.5214014e-07,2.6278604e-10,1.3541931e-07,1.195323e-07,5.165852e-05,7.3754416e-07,1.4640015e-05,7.994849e-09,1.2877463e-07
0075d39c.wav,6.0785806e-06,6.528639e-08,1.2063192e-07,1.025832e-06,1.13546484e-07,2.7589941e-09,3.412988e-05,7.0415695e-07,7.569481e-05,0.9316591,3.0748348e-09,0.0024994514,4.7396526e-05,1.8886218e-05,2.7828166e-05,5.6185144e-08,1.6651356e-06,1.854201e-05,1.8906203e-05,1.2385495e-07,0.001536695,1.2084803e-09,1.7846156e-05,0.0012441499,0.0028490592,1.0355097e-06,5.825054e-07,5.486672e-06,4.5545463e-07,1.2655234e-08,0.058973707,2.8103468e-06,0.00094081485,3.057448e-09,3.3200556e-06,7.4276835e-07,4.930525e-06,4.1874723e-06,2.81265e-06,1.1734613e-06,2.2940475e-07
00780200.wav,2.9114995e-05,0.0010098133,1.9379559e-06,1.0784318e-05,2.2134378e-05,6.626769e-06,0.007185022,0.00024277136,4.390662e-06,2.6948427e-08,0.040711995,2.894002e-08,9.057171e-05,0.0009577225,5.707274e-06,2.7729666e-08,5.195511e-06,7.2269927e-07,2.5586301e-05,8.502872e-06,8.187424e-08,2.7768435e-06,2.4104017e-06,0.0001260172,2.3552668e-05,5.0617507e-07,2.0713978e-05,0.9486152,4.1218394e-07,3.9841498e-07,3.3793218e-05,2.329506e-05,1.2855837e-07,4.4898075e-05,1.6743753e-06,1.4386277e-06,0.0007615673,1.5301498e-06,1.8451226e-05,1.9591944e-06,4.3983667e-07
0079d310.wav,5.3503615e-09,8.020975e-09,1.4709202e-07,1.2102916e-08,4.8048804e-08,2.0185835e-06,3.280496e-06,9.800305e-09,0.98662335,1.971264e-05,2.8111035e-07,1.19414835e-05,2.583549e-06,4.5952283e-06,9.467428e-07,2.0898126e-08,5.5027707e-09,1.5938248e-06,0.010229222,8.787405e-08,5.085775e-06,1.8695545e-07,2.1201836e-06,0.001644405,0.0002704481,6.1817325e-08,1.14761384e-07,1.0328141e-06,5.5805668e-08,3.1633e-08,0.00011712128,4.9155283e-06,5.6740838e-08,7.656164e-09,1.3897861e-06,6.284695e-06,0.001018972,2.3616283e-07,1.2675967e-05,9.0920985e-08,1.479769e-05
00ad7068.wav,7.570827e-07,1.2144671e-05,2.204143e-08,1.5972785e-06,7.3014974e-08,2.7024263e-09,6.5365464e-05,4.5190383e-08,3.7717257e-07,8.4357904e-05,1.0337904e-08,4.5687528e-07,0.9802269,4.4160387e-08,0.001792144,2.8745802e-08,6.245424e-07,0.006961111,7.909527e-06,0.0002805614,0.0004298302,5.056019e-11,5.642195e-07,0.0009345886,6.984065e-05,1.2008968e-06,7.7145806e-08,1.3199011e-06,1.7204629e-06,5.47636e-10,0.009099765,4.198203e-06,7.6267906e-06,3.4110577e-08,4.7945e-07,7.3935917e-06,7.541326e-07,1.1029259e-06,1.6002417e-07,4.9070213e-06,7.6914325e-10
00c5808a.wav,8.1890554e-05,3.5312355e-06,8.739804e-07,1.8202023e-05,3.67977e-06,1.9152663e-05,0.011912797,5.019204e-06,0.020178255,0.030007346,1.5354193e-05,0.6160779,0.0057262136,0.21952255,0.012147594,7.966901e-07,1.7357828e-05,0.00011661905,0.00094515726,6.9999865e-06,0.0005951109,3.2338032e-06,0.023378428,0.0040323595,0.03025019,8.928638e-06,8.5583626e-05,0.0025588325,0.00014389577,1.6033315e-06,0.00518522,0.00035743552,4.2873303e-06,2.8830107e-07,1.02810545e-05,0.00025526635,0.015979677,0.00010855101,0.00017517783,8.971571e-06,4.932031e-05
