fname,label_verified
013264d3.wav,22
013c3135.wav,7
018863f5.wav,29
02274ee8.wav,28
03657d6d.wav,30
0447d04d.wav,12
05b76c07.wav,22
05d0dfa7.wav,15
05ecefbe.wav,39
0640c787.wav,37
07a99531.wav,15
08e79547.wav,21
0b142b38.wav,17
0bdef4f9.wav,15
0be246ba.wav,29
0be52cd7.wav,21
0cafd32f.wav,32
0cb7fc83.wav,26
0cbfebc7.wav,12
0ccf0903.wav,3
0cea4550.wav,7
0db954fa.wav,37
0ded93ce.wav,32
0ec012fc.wav,12
0fb464cf.wav,37
0fcdc341.wav,22
10884a97.wav,29
11439cbd.wav,19
11cf5942.wav,19
12323e04.wav,17
125e64b7.wav,5
1314cdad.wav,21
1397ddc8.wav,25
13ee6c44.wav,22
13f08982.wav,28
14683a1c.wav,37
14c22798.wav,32
14e27632.wav,5
1549bbaf.wav,7
156dd4a7.wav,15
15d798df.wav,21
161bd007.wav,19
172d7f14.wav,33
17b9396e.wav,37
184ca1c7.wav,33
186311f0.wav,32
1967e2b2.wav,37
199b1adf.wav,4
1a132a81.wav,11
1c133d0e.wav,21
1c3b4067.wav,37
1d23c74b.wav,29
1e5fd361.wav,19
202b6258.wav,4
20889068.wav,9
20f13d88.wav,37
212463da.wav,15
218f3cc6.wav,37
21909da5.wav,9
21c442db.wav,32
22ab9809.wav,15
23c11bee.wav,37
26a9e392.wav,37
26d8b402.wav,28
271f6198.wav,1
2846dc18.wav,17
288821ab.wav,22
28a9502f.wav,28
28e413d2.wav,31
28f5dfd6.wav,29
2939852d.wav,7
2979f92a.wav,7
2af5749f.wav,4
2b1ed909.wav,16
2b4524a7.wav,34
2b6f431f.wav,12
2bb21942.wav,19
2c81e1ce.wav,37
2cd3efb6.wav,37
2d1a30c9.wav,21
2eb83a0b.wav,4
2ffa79a0.wav,11
3078e97f.wav,7
318f5562.wav,21
3251bac1.wav,1
32c2eb1b.wav,37
33c062e8.wav,21
33f89f08.wav,20
34224506.wav,22
34b432be.wav,25
3564bae2.wav,29
35844050.wav,5
363c41b3.wav,21
36967fb1.wav,31
3788e6ce.wav,33
38311105.wav,9
3846f2fa.wav,29
38852ae1.wav,37
38bc302a.wav,22
39d69471.wav,5
39ec9cc6.wav,37
3a460182.wav,29
3a89d0e3.wav,8
3a90abf3.wav,37
3b1d5657.wav,31
3b842547.wav,7
3c9aa9e8.wav,37
3cc6911c.wav,21
3e246c06.wav,22
3e70496c.wav,21
3ecef0f4.wav,37
3f3f7481.wav,19
3f6dbc86.wav,12
3fd6adb9.wav,31
40b4d48a.wav,27
410b8cc3.wav,19
413d90c2.wav,25
43671f8b.wav,12
43a84fec.wav,37
4430e0ee.wav,33
455aee34.wav,11
4590ba37.wav,37
477622b6.wav,37
47797e57.wav,19
48cfca3e.wav,37
48ffd19b.wav,4
49223304.wav,29
493a0b43.wav,28
4ac4d857.wav,11
4b090c94.wav,29
4b2ef8c7.wav,25
4c5667a2.wav,37
4cbc1a15.wav,21
4cf956a5.wav,11
4d2c6692.wav,7
4d596bea.wav,21
4dd5b189.wav,33
4e11d778.wav,21
4e82d86d.wav,7
4f02375d.wav,29
4f2f568c.wav,31
4fed9012.wav,28
50556530.wav,13
51723a64.wav,33
51bc618d.wav,37
524dea8d.wav,37
5283a183.wav,21
5287b30b.wav,7
52e8444c.wav,31
53157a1b.wav,4
53d5dfdf.wav,37
540dcb37.wav,33
545574e6.wav,33
54b61eec.wav,22
54c32b7a.wav,37
557040c2.wav,10
55c288a5.wav,15
5604d72a.wav,7
5631d60b.wav,37
56de1a6e.wav,21
58650dc4.wav,21
58ba4d53.wav,32
59667f26.wav,19
59c0317c.wav,11
5a53e933.wav,37
5aa7d1d3.wav,37
5aabae55.wav,19
5c1521da.wav,30
5c581093.wav,21
5cca8915.wav,28
5d5ea0ea.wav,7
5d902b1c.wav,21
5db43d95.wav,28
5dd6e37d.wav,37
5e999857.wav,25
5ec49ef4.wav,19
5f11882f.wav,31
6123a18d.wav,5
6159836f.wav,5
615bc8fb.wav,33
61628e3b.wav,30
619d8d1e.wav,37
62532077.wav,21
63190691.wav,32
632fd5c9.wav,21
639cd52b.wav,37
63b95f33.wav,9
6412ee13.wav,21
647968c4.wav,37
64b1e8c8.wav,11
6514d3d3.wav,21
65f60c42.wav,37
66127f3f.wav,11
66af2f72.wav,19
66ccbc5f.wav,37
67e4e043.wav,9
68ddd963.wav,19
69cadbf5.wav,16
6a3bfead.wav,15
6a7c4f15.wav,4
6b33850f.wav,8
6b6bdc93.wav,37
6d1e1e67.wav,37
6d4fca1c.wav,22
6eebda32.wav,12
